Country,City,AQI_Value,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions,AQI_Category
Hungary,Szazhalombatta,69,1,Good,69,Moderate,0,Good,58,L1,169.7014705,0.864715308,L1,Moderate
United States of America,Ocean Springs,27,0,Good,27,Good,2,Good,23,L0,82.25823337,-7.435467621,L0,Good
Dominican Republic,Bayaguana,129,4,Good,,Good,17,Good,129,L2,321.0164363,7.017570518,L2,Unhealthy for Sensitive Groups
United States of America,North Royalton,48,1,,31,Good,8,Good,48,L0,126.3230902,5.297346591,L0,Good
United States of America,Dedham,47,1,Good,,Good,9,Good,47,L0,117.2543299,3.160664816,L0,Good
,Pionerskiy,33,0,Good,33,Good,0,Good,33,L0,71.77010743,0.376425026,L0,Good
Bolivia (Plurinational State of),Camiri,12,1,Good,1,Good,0,Good,12,L0,37.97876191,13.63827811,L0,Good
Russian Federation,Syzran,40,1,Good,40,Good,0,Good,30,L0,103.0194024,6.31559891,L0,Good
France,Plerin,30,0,Good,30,Good,1,Good,24,L0,70.60390483,12.50690687,L0,Good
Russian Federation,Petrovsk,32,1,Good,32,Good,0,Good,6,L0,93.10808273,4.378305088,L0,Good
South Africa,Zastron,147,1,,0,Good,20,Good,147,L2,373.2153318,4.21927057,L2,Unhealthy for Sensitive Groups
Armenia,Abovyan,56,1,Good,40,Good,0,Good,56,L1,139.5160321,11.30109482,L1,Moderate
Mexico,Cuautlancingo,122,2,Good,12,Good,7,Good,122,L2,330.5124694,12.16412725,L2,Unhealthy for Sensitive Groups
Georgia,Khashuri,47,1,Good,33,Good,0,Good,47,L0,128.3452405,-2.457765698,L0,Good
Japan,Shido,50,1,Good,50,Good,0,Good,17,L0,126.9826695,3.747562857,L0,Good
Russian Federation,Yuzhnouralsk,39,1,Good,39,Good,0,Good,14,L0,82.99922073,11.72681203,L0,Good
Iran (Islamic Republic of),Marv Dasht,93,1,Good,57,Moderate,0,Good,93,L1,234.4637393,10.05330754,L1,Moderate
India,Puruliya,146,3,Good,,Good,5,Good,146,L2,377.5321345,6.084986464,L2,Unhealthy for Sensitive Groups
Ghana,Sunyani,54,1,Good,18,Good,0,Good,54,L1,133.8314467,7.134169827,L1,Moderate
Brazil,Altonia,19,1,Good,13,Good,0,Good,19,L0,50.32344879,7.51878199,L0,Good
Brazil,Boituva,86,2,Good,11,Good,4,Good,86,L1,216.4781955,0.997379338,L1,Moderate
China,Zhongshan,98,3,,33,Good,9,Good,98,L1,239.2225522,1.732701805,L1,Moderate
France,Berck,34,1,Good,30,Good,3,Good,34,L0,91.46475612,-1.518765144,L0,Good
United States of America,Los Alamitos,94,3,Good,11,Good,34,Good,94,L1,249.4223002,2.804374054,L1,Moderate
Philippines,Hinatuan,33,1,Good,18,Good,0,Good,33,L0,74.58544436,3.288696026,L0,Good
Indonesia,Waru,155,3,Good,117,Unhealthy for Sensitive Groups,1,Good,155,L3,386.0234724,16.45188808,L3,Unhealthy
Uganda,Ntungamo,160,5,Good,23,Good,1,Good,160,L3,407.3492813,-0.50881928,L3,Unhealthy
Greece,Palaion Faliron,53,1,Good,,Good,0,Good,53,L1,141.862357,7.137477494,L1,Moderate
Luxembourg,Dudelange,26,1,Good,26,Good,2,Good,23,L0,70.54051663,10.08362601,L0,Good
France,Agen,46,1,Good,37,Good,1,Good,46,L0,108.0662423,6.155979165,L0,Good
Russian Federation,Stepnoye,36,1,Good,36,Good,0,Good,21,L0,98.23247188,13.36174609,L0,Good
India,Rampur,174,4,Good,174,Unhealthy,1,Good,162,L3,428.092542,9.661832807,L3,Unhealthy
Democratic Republic of the Congo,Mbuji Mayi,270,15,Good,43,Good,9,Good,270,L4,678.8808331,30.93567775,L4,Very Unhealthy
United States of America,Woodhaven,86,2,Good,38,Good,10,Good,86,L1,222.2745993,6.643136402,L1,Moderate
Mexico,Ahualulco,66,2,,1,Good,6,Good,66,L1,169.3397801,-0.633347265,L1,Moderate
Poland,Zabkowice Slaskie,45,1,Good,20,Good,3,Good,45,L0,125.097123,-4.630527312,L0,Good
United States of America,Salem,29,1,Good,27,Good,6,Good,29,L0,64.28444213,-0.701849515,L0,Good
Russian Federation,Tyulgan,41,1,Good,34,Good,0,Good,41,L0,120.9694124,8.581245751,L0,Good
Romania,Gheorgheni,61,1,Good,40,Good,0,Good,61,L1,144.6700778,3.34506931,L1,Moderate
Greece,Trikala,99,1,Good,,Good,0,Good,99,L1,233.4505555,2.920129727,L1,Moderate
Italy,Castelfranco Emilia,79,1,Good,29,Good,7,Good,79,L1,194.4272223,5.808123558,L1,Moderate
Nigeria,Inisa,159,6,Good,16,Good,5,Good,159,L3,391.6893667,12.18310545,L3,Unhealthy
France,Gaillac,38,1,Good,31,Good,1,Good,38,L0,112.1644739,-1.705334204,L0,Good
Mexico,El Fuerte,83,2,Good,14,Good,3,Good,83,L1,220.5898861,5.897862392,L1,Moderate
Indonesia,Ketanggungan,161,7,Good,,Good,16,Good,161,L3,406.381529,7.569124069,L3,Unhealthy
India,Buguda,166,1,Good,40,Good,0,Good,166,L3,424.9576557,7.986059292,L3,Unhealthy
South Africa,Sundumbili,153,6,Good,25,Good,6,Good,153,L3,378.8769306,14.29087851,L3,Unhealthy
Bulgaria,Smoljan,80,1,Good,,Good,0,Good,80,L1,206.7041622,1.463596899,L1,Moderate
India,Jabalpur,170,1,Good,38,Good,0,Good,170,L3,429.2555408,0.181056054,L3,Unhealthy
India,Seondha,222,1,Good,62,Moderate,0,Good,222,L4,564.8253371,10.89153735,L4,Very Unhealthy
Germany,Wardenburg,33,1,Good,33,Good,2,Good,27,L0,82.81875466,4.846110669,L0,Good
Russian Federation,Belorechensk,47,1,Good,47,Good,1,Good,30,L0,119.5459859,5.382233793,L0,Good
Armenia,Sisian,45,1,Good,37,Good,0,Good,45,L0,131.9139911,3.328490888,L0,Good
India,Wani,162,2,Good,27,Good,12,Good,162,L3,407.2467747,-3.514794932,L3,Unhealthy
El Salvador,Puerto El Triunfo,110,2,Good,34,Good,1003.063334,Good,110,L2,267.915178,10.49416947,L2,Unhealthy for Sensitive Groups
Russian Federation,Kirzhach,60,1,Good,22,Good,8,Good,60,L1,160.9128959,2.561639595,L1,Moderate
Germany,Schwalmtal,52,1,Good,39,Good,1,Good,52,L1,135.658485,1.396221575,L1,Moderate
India,Begun,156,0,Good,42,Good,0,Good,156,L3,396.1088638,-3.772119751,L3,Unhealthy
United States of America,North Olmsted,52,1,Good,37,Good,2,Good,52,L1,131.1953146,11.70568996,L1,Moderate
Kingdom of Eswatini,Mbabane,114,2,Good,21,Good,3,Good,114,L2,291.0744437,9.024522099,L2,Unhealthy for Sensitive Groups
Peru,Tambo Grande,55,1,,16,Good,1,Good,55,L1,140.8636633,3.356860449,L1,Moderate
Brazil,Farroupilha,30,1,Good,16,Good,2,Good,30,L0,64.68464685,8.047909337,L0,Good
Brazil,Sousa,30,0,,17,Good,0,Good,30,L0,65.73536089,-4.668523295,L0,Good
Poland,Gniezno,33,1,Good,33,Good,0,Good,31,L0,85.00227388,2.325859585,L0,Good
Italy,Urbino,37,1,Good,37,Good,4,Good,29,L0,71.61640836,9.294730025,L0,Good
Myanmar,Syriam,62,0,Good,23,Good,0,Good,62,L1,156.4514927,-4.888883962,L1,Moderate
Belgium,Wavre,57,1,Good,,Good,6,Good,57,L1,130.3625643,13.63435394,L1,Moderate
Côte d'Ivoire,Abengourou,64,2,,18,Good,0,Good,64,L1,183.3389655,4.712595992,L1,Moderate
South Africa,Vanderbijlpark,275,15,Good,8,Good,20,Good,275,L4,689.1782221,34.51062854,L4,Very Unhealthy
India,Nandyal,94,2,Good,43,Good,2,Good,94,L1,247.5156323,12.63833067,L1,Moderate
India,Baghpat,168,4,Good,161,Unhealthy,3,Good,168,L3,421.0647014,11.63624679,L3,Unhealthy
,Ventimiglia,66,1,Good,38,Good,2,Good,66,L1,160.2305426,4.368136806,L1,Moderate
China,Hailun,38,2,Good,38,Good,0,Good,33,L0,110.8299994,7.787394946,L0,Good
Iran (Islamic Republic of),Astara,80,1,Good,45,Good,0,Good,80,L1,215.2165084,3.807516582,L1,Moderate
United States of America,Rio Linda,50,1,Good,,Good,7,Good,50,L0,139.8995085,7.201497473,L0,Good
India,Tura,75,2,Good,,Good,4,Good,75,L1,168.6307013,-2.300777934,L1,Moderate
Brazil,Ubatuba,50,1,Good,12,Good,2,Good,50,L0,130.6073613,2.52737301,L0,Good
Ethiopia,Shakiso,35,0,Good,16,Good,0,Good,35,L0,77.00797555,2.819769451,L0,Good
Côte d'Ivoire,Jacqueville,51,2,,25,Good,1,Good,51,L1,138.5784034,-1.755036228,L1,Moderate
Russian Federation,Novoorsk,41,1,Good,41,Good,0,Good,16,L0,107.2756395,10.45475468,L0,Good
Italy,Cento,101,2,Good,30,Good,8,Good,101,L2,263.7511055,-0.200186849,L2,Unhealthy for Sensitive Groups
United States of America,Wolf Trap,53,2,Good,27,Good,10,Good,53,L1,125.1913568,9.815751863,L1,Moderate
South Africa,Hendrina,56,1,Good,22,Good,4,Good,56,L1,132.1353051,7.874091875,L1,Moderate
United States of America,Pflugerville,29,1,Good,20,Good,2,Good,29,L0,94.26650803,9.000775963,L0,Good
United States of America,Corning,40,1,Good,40,Good,1,Good,32,L0,77.45478372,13.37182024,L0,Good
United States of America,Clearlake,32,1,Good,25,Good,4,Good,32,L0,93.33157767,10.93248636,L0,Good
Belgium,Oudenaarde,36,1,Good,25,Good,3,Good,36,L0,89.62835738,10.70519162,L0,Good
Brazil,Baturite,42,1,Good,10,Good,3,Good,42,L0,88.52296761,4.63817853,L0,Good
Angola,Cabinda,49,2,Good,49,Good,0,Good,41,L0,125.0748355,12.52101547,L0,Good
United States of America,Arnold,54,2,,27,Good,10,Good,54,L1,123.8237854,3.425782156,L1,Moderate
Brazil,Barra Do Bugres,63,3,Good,,Good,1,Good,63,L1,157.6671661,15.61703569,L1,Moderate
Russian Federation,Yessentukskaya,45,1,Good,39,Good,1,Good,45,L0,132.2769287,6.691412551,L0,Good
Brazil,Sao Fidelis,62,2,Good,0,Good,6,Good,62,L1,145.213264,2.225514641,L1,Moderate
India,Bargur,84,1,Good,30,Good,1003.063334,Good,84,L1,209.0978539,7.091659897,L1,Moderate
Slovakia,Levice,50,1,Good,31,Good,1,Good,50,L0,119.734847,7.623395877,L0,Good
India,Ponda,81,0,Good,21,Good,0,Good,81,L1,206.0641841,7.656495726,L1,Moderate
China,Yuli,46,1,Good,21,Good,4,Good,46,L0,113.1753123,-0.913953641,L0,Good
United Kingdom of Great Britain and Northern Ireland,Witham,28,0,,28,Good,3,Good,24,L0,71.09000558,9.622712232,L0,Good
United States of America,Bellmore,73,2,Good,39,Good,11,Good,73,L1,187.6538756,0.737491408,L1,Moderate
India,Bhinga,141,4,Good,25,Good,9,Good,141,L2,368.7441415,2.462875163,L2,Unhealthy for Sensitive Groups
Honduras,La Entrada,55,2,Good,,Good,4,Good,55,L1,131.2094823,8.355484917,L1,Moderate
,Malibu,42,2,Good,42,Good,6,Good,28,L0,113.2876685,1.886256192,L0,Good
France,Aubenas,37,1,Good,26,Good,2,Good,37,L0,106.6637883,8.279269508,L0,Good
Germany,Rehlingen Siersburg,28,1,Good,28,Good,3,Good,27,L0,78.82033706,-4.328413537,L0,Good
Russian Federation,Livny,32,1,Good,32,Good,1,Good,18,L0,89.07689737,1.374839626,L0,Good
Brazil,Candido Mota,43,1,,20,Good,0,Good,43,L0,122.77959,-7.123990009,L0,Good
Israel,Ashqelon,65,1,Good,46,Good,3,Good,65,L1,153.1404502,-7.370071983,L1,Moderate
Russian Federation,Slantsy,35,1,Good,35,Good,0,Good,6,L0,97.41274021,1.331609209,L0,Good
United States of America,Lenoir,38,1,Good,38,Good,2,Good,17,L0,103.2995879,7.03978398,L0,Good
United States of America,Fort Lauderdale,61,1,Good,19,Good,11,Good,61,L1,165.4393512,6.725484467,L1,Moderate
,Muisne,26,1,Good,20,Good,0,Good,26,L0,56.81590549,5.4970334,L0,Good
Italy,Omegna,49,1,Good,33,Good,1,Good,49,L0,139.6712992,-4.617650015,L0,Good
Slovenia,Novo Mesto,75,1,Good,48,Good,0,Good,75,L1,207.9610856,1.766128246,L1,Moderate
,Durban,90,3,Good,25,Good,1003.063334,Good,90,L1,223.0075594,6.177800259,L1,Moderate
United States of America,Renton,33,1,Good,31,Good,5,Good,33,L0,94.0048964,2.426699345,L0,Good
United States of America,Culver City,131,3,Good,12,Good,28,Good,131,L2,345.4314808,10.49727245,L2,Unhealthy for Sensitive Groups
India,Pokaran,500,0,Good,37,Good,0,Good,500,L5,1268.658566,8.295130956,L5,Hazardous
Italy,Montepulciano,41,1,Good,41,Good,1,Good,23,L0,101.2726942,2.628495425,L0,Good
Brazil,Jequie,23,0,Good,23,Good,0,Good,22,L0,73.7639345,-0.906536942,L0,Good
Poland,Trzcianka,42,1,Good,42,Good,0,Good,22,L0,107.7465187,-1.777503937,L0,Good
Austria,Wolfsberg,66,1,Good,38,Good,1,Good,66,L1,162.2190521,4.241835411,L1,Moderate
Philippines,Trapiche,51,1,Good,19,Good,1003.063334,Good,51,L1,137.6913065,6.290255423,L1,Moderate
United States of America,Lemont,57,2,Good,29,Good,12,Good,57,L1,135.2247576,10.23357639,L1,Moderate
Montenegro,Niksic,79,1,Good,39,Good,0,Good,79,L1,194.9404929,3.652645216,L1,Moderate
Democratic Republic of the Congo,Manono,74,2,Good,23,Good,1,Good,74,L1,172.2127975,13.58232262,L1,Moderate
Germany,Donaueschingen,61,1,Good,51,Moderate,0,Good,61,L1,151.3271543,-8.016391116,L1,Moderate
Italy,Cormano,100,1,Good,35,Good,5,Good,100,L2,249.4606532,16.39981776,L2,Unhealthy for Sensitive Groups
Brazil,Pedra Branca,30,0,Good,,Good,0,Good,30,L0,105.6515406,7.373126708,L0,Good
Brazil,Igarassu,27,0,Good,23,Good,1,Good,27,L0,69.06773931,3.843769959,L0,Good
Cambodia,Lumphat,48,1,,24,Good,0,Good,48,L0,141.5466832,13.30577988,L0,Good
Germany,Rosdorf,55,1,Good,37,Good,5,Good,55,L1,154.7727382,3.739107507,L1,Moderate
Netherlands,Drimmelen,40,1,Good,31,Good,5,Good,40,L0,86.91657946,2.788631343,L0,Good
Brazil,Atalaia,27,0,,17,Good,1003.063334,Good,27,L0,80.31428919,-5.543157909,L0,Good
South Africa,Bredasdorp,44,1,Good,22,Good,1,Good,44,L0,133.1567746,8.16478433,L0,Good
France,Cavaillon,46,1,Good,29,Good,2,Good,46,L0,121.5809488,2.920108343,L0,Good
Brazil,Itajuipe,39,1,Good,8,Good,3,Good,39,L0,96.21701508,9.70062149,L0,Good
India,Kushalgarh,171,1,,38,Good,0,Good,171,L3,439.7754737,-2.991855323,L3,Unhealthy
India,Ambur,60,0,Good,26,Good,0,Good,60,L1,143.2335506,6.018871614,L1,Moderate
Germany,Burstadt,57,1,Good,43,Good,2,Good,57,L1,146.5517577,-1.995232713,L1,Moderate
United States of America,Mobile,45,2,Good,45,Good,6,Good,45,L0,113.6149293,-1.416136653,L0,Good
Mexico,Nochistlan,43,1,Good,12,Good,2,Good,43,L0,124.4108585,9.997397219,L0,Good
Philippines,Saug,31,0,Good,15,Good,0,Good,31,L0,90.34002779,4.155310647,L0,Good
Philippines,Buanoy,68,1,Good,20,Good,0,Good,68,L1,190.6851899,5.303000006,L1,Moderate
Indonesia,Margahayu,98,2,Good,73,Moderate,1,Good,98,L1,261.9339444,3.234545328,L1,Moderate
India,Hinganghat,151,1,Good,35,Good,0,Good,151,L3,381.9216339,1.249844223,L3,Unhealthy
India,Chavakkad,66,0,Good,25,Good,0,Good,66,L1,181.6473935,4.002427626,L1,Moderate
Poland,Swidwin,30,1,Good,29,Good,1,Good,30,L0,72.61284734,-1.844314889,L0,Good
Russian Federation,Zayukovo,42,1,Good,42,Good,0,Good,33,L0,100.5509128,-5.044626485,L0,Good
Brazil,Santa Cruz Das Palmeiras,56,1,Good,8,Good,3,Good,56,L1,153.7896397,2.132187614,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Grays,33,0,Good,33,Good,0,Good,26,L0,84.12250967,14.71748881,L0,Good
Indonesia,Tulangan,164,3,Good,,Good,10,Good,164,L3,406.3897689,7.441967137,L3,Unhealthy
Italy,Cavallino,46,1,Good,46,Good,0,Good,44,L0,120.8202993,1.557749545,L0,Good
Peru,Talara,37,0,Good,24,Good,0,Good,37,L0,80.18342476,2.291753563,L0,Good
United States of America,Pleasant Hill,65,1,Good,,Good,15,Good,65,L1,175.2966053,4.927810086,L1,Moderate
United States of America,Council Bluffs,43,1,Good,43,Good,2,Good,41,L0,97.78788256,0.160483304,L0,Good
Brazil,Lavras,44,1,Good,10,Good,2,Good,44,L0,101.6485339,6.237699966,L0,Good
Bangladesh,Kishorganj,66,3,Good,,Good,3,Good,66,L1,165.3207628,9.894272798,L1,Moderate
Germany,Waldkraiburg,49,1,Good,30,Good,3,Good,49,L0,108.4064391,4.931876014,L0,Good
Canada,Aldergrove,73,2,,18,Good,14,Good,73,L1,202.8755132,2.10008547,L1,Moderate
Turkey,Sarkikaraagac,43,1,Good,43,Good,0,Good,42,L0,112.8200415,-1.335822298,L0,Good
Brazil,Perdoes,42,1,Good,10,Good,2,Good,42,L0,100.0522828,5.065495981,L0,Good
Dominican Republic,Las Matas De Farfan,100,1,Good,,Good,0,Good,100,L2,244.9439862,11.99972974,L2,Unhealthy for Sensitive Groups
Mongolia,Ondorhaan,61,2,,,Good,0,Good,61,L1,152.3702576,14.84985797,L1,Moderate
Japan,Waki,55,1,Good,55,Moderate,0,Good,17,L0,138.0432326,-7.765126945,L0,Moderate
Venezuela (Bolivarian Republic of),Altagracia De Orituco,153,1,Good,13,Good,3,Good,153,L3,380.9640071,2.407387208,L3,Unhealthy
United States of America,Gadsden,75,3,Good,7,Good,16,Good,75,L1,193.5353815,-0.261855007,L1,Moderate
India,Kishangarh,409,1,Good,44,Good,0,Good,356,L5,1022.877247,-3.929018382,L5,Hazardous
Japan,Ritto,55,1,Good,55,Moderate,1,Good,45,L0,132.1200865,2.575232085,L0,Moderate
China,Deqing,178,4,Good,,Unhealthy,5,Good,116,L2,456.182893,15.11501495,L2,Unhealthy
Albania,Peshkopi,115,1,Good,39,Good,0,Good,115,L2,290.6302849,-3.604588529,L2,Unhealthy for Sensitive Groups
Romania,Lupeni,55,1,,39,Good,0,Good,55,L1,138.9579361,-1.461860112,L1,Moderate
Germany,Teltow,38,0,Good,32,Good,1,Good,38,L0,107.1473173,2.287327749,L0,Good
Spain,Lepe,41,1,Good,41,Good,0,Good,16,L0,88.71019055,5.844082903,L0,Good
Kazakhstan,Ayagoz,50,1,Good,33,Good,0,Good,50,L0,142.0653572,-1.910022677,L0,Good
Malaysia,Mentakab,88,1,Good,41,Good,0,Good,88,L1,215.7764867,8.283979917,L1,Moderate
Germany,Genthin,31,0,Good,30,Good,1,Good,31,L0,78.38123034,3.03354458,L0,Good
Czechia,Hranice,72,1,Good,45,Good,0,Good,72,L1,189.0394042,0.610341265,L1,Moderate
China,Nantou,202,3,Good,202,Very Unhealthy,10,Good,153,L3,497.7410774,8.014392801,L3,Very Unhealthy
Bolivia (Plurinational State of),San Borja,27,1,Good,5,Good,0,Good,27,L0,64.46469039,0.743030347,L0,Good
Portugal,Lamego,25,0,Good,25,Good,2,Good,15,L0,78.31984809,-5.952072684,L0,Good
France,Le Tampon,62,1,Good,26,Good,1,Good,62,L1,166.3293182,7.051918457,L1,Moderate
France,Saint Sebastien Sur Loire,32,1,,27,Good,2,Good,32,L0,81.0798736,7.529661123,L0,Good
Finland,Vammala,34,1,Good,,Good,0,Good,17,L0,80.75591432,12.39735583,L0,Good
India,Kamakhyanagar,132,3,Good,33,Good,8,Good,132,L2,316.8451809,8.861279787,L2,Unhealthy for Sensitive Groups
Germany,Calw,39,1,Good,25,Good,3,Good,39,L0,94.83677475,10.29185002,L0,Good
United States of America,Golden Valley,50,1,Good,40,Good,4,Good,50,L0,141.7841932,6.595690939,L0,Good
Italy,Albano Laziale,77,1,Good,,Moderate,0,Good,31,L0,214.8011677,17.06121167,L0,Moderate
Russian Federation,Georgievsk,43,1,Good,43,Good,1,Good,32,L0,109.0269771,2.753284688,L0,Good
Germany,Stadtlohn,42,1,Good,39,Good,0,Good,42,L0,103.099874,-3.84020204,L0,Good
Indonesia,Tabanan,39,1,Good,24,Good,0,Good,39,L0,105.0454065,-5.090628169,L0,Good
Indonesia,Pundong,160,5,,16,Good,15,Good,160,L3,416.6190113,11.80727332,L3,Unhealthy
Italy,Teramo,44,1,Good,44,Good,1,Good,38,L0,111.7233785,0.31168577,L0,Good
Ireland,Drogheda,58,1,Good,24,Good,4,Good,58,L1,149.0334609,7.177419341,L1,Moderate
United States of America,Campbellsville,41,2,Good,36,Good,4,Good,41,L0,97.2925979,6.173173074,L0,Good
United States of America,Thousand Oaks,50,2,Good,31,Good,1003.063334,Good,50,L0,130.2620475,-1.770241959,L0,Good
Russian Federation,Murmansk,31,1,Good,,Good,0,Good,9,L0,85.65522941,10.08140618,L0,Good
France,Cannes,61,1,Good,61,Moderate,1,Good,42,L0,175.7246334,10.13208953,L0,Moderate
Denmark,Helsingor,37,0,Good,37,Good,0,Good,17,L0,100.8649979,6.935346221,L0,Good
Italy,Loano,69,1,Good,45,Good,2,Good,69,L1,186.5678427,-0.243230704,L1,Moderate
Brazil,Altinopolis,52,1,Good,12,Good,2,Good,52,L1,138.3237683,-4.930468323,L1,Moderate
Spain,Tomelloso,31,1,Good,25,Good,2,Good,31,L0,90.11769726,12.70117325,L0,Good
China,Wangqing,101,3,Good,35,Good,2,Good,101,L2,268.8809709,5.717974267,L2,Unhealthy for Sensitive Groups
Spain,Sant Pere De Ribes,49,1,Good,49,Good,1,Good,49,L0,144.9813707,2.127632908,L0,Good
Netherlands,Heusden,39,1,Good,,Good,4,Good,39,L0,106.9035399,0.092394701,L0,Good
Iran (Islamic Republic of),Quchan,86,1,Good,40,Good,0,Good,86,L1,217.8204909,3.157044008,L1,Moderate
Turkey,Elmadag,44,1,Good,44,Good,0,Good,32,L0,123.5240888,10.89874084,L0,Good
United States of America,Riverside,95,3,Good,23,Good,17,Good,95,L1,222.137795,4.536333226,L1,Moderate
Italy,Signa,73,1,Good,73,Moderate,0,Good,42,L0,192.6616302,-0.819485766,L0,Moderate
India,Salimpur,276,4,Good,161,Unhealthy,2,Good,276,L4,686.7967154,1.842503849,L4,Very Unhealthy
Malaysia,Beranang,90,2,Good,44,Good,1,Good,90,L1,226.0727376,0.947095975,L1,Moderate
Belgium,Kraainem,36,1,,29,Good,3,Good,36,L0,80.99477609,10.76917728,L0,Good
United States of America,Willowick,40,1,Good,32,Good,1003.063334,Good,40,L0,102.0590569,-3.420350874,L0,Good
Pakistan,Ahmadpur East,196,2,Good,117,Unhealthy for Sensitive Groups,0,Good,196,L3,492.5578496,5.201520856,L3,Unhealthy
Thailand,Suphan Buri,45,0,Good,20,Good,0,Good,45,L0,123.2344749,-2.118944376,L0,Good
China,Shashi,152,6,Good,32,Good,20,Good,152,L3,386.7241985,9.720667611,L3,Unhealthy
France,Sucy En Brie,50,1,Good,22,Good,5,Good,50,L0,124.6483573,2.973004365,L0,Good
France,Sorgues,50,1,Good,23,Good,5,Good,50,L0,153.943619,7.325502747,L0,Good
Italy,Francofonte,64,1,Good,46,Good,1,Good,64,L1,162.300481,4.339904446,L1,Moderate
Germany,Leverkusen,32,1,Good,32,Good,2,Good,30,L0,70.83731141,5.044783693,L0,Good
Hungary,Keszthely,50,1,Good,32,Good,1,Good,50,L0,129.8616225,-2.727310111,L0,Good
Greece,Nea Ionia,46,1,Good,46,Good,0,Good,44,L0,129.085911,2.330458003,L0,Good
United States of America,Cherryland,45,1,Good,30,Good,10,Good,45,L0,128.6049987,7.248011894,L0,Good
India,Dhanaura,500,3,Good,143,Unhealthy for Sensitive Groups,4,Good,428,L5,1261.927758,0.620534871,L5,Hazardous
Brazil,Governador Valadares,27,0,Good,24,Good,0,Good,27,L0,58.07111426,15.55246222,L0,Good
United States of America,Redlands,96,3,Good,23,Good,13,Good,96,L1,246.488768,6.351504229,L1,Moderate
Mexico,Villagran,52,1,Good,26,Good,1003.063334,Good,52,L1,105.5961137,2.9684147,L1,Moderate
Hungary,Miskolc,57,1,,35,Good,1,Good,57,L1,147.8218509,1.768918717,L1,Moderate
Germany,Hohen Neuendorf,45,1,Good,45,Good,0,Good,26,L0,113.9673586,0.780806865,L0,Good
Austria,Graz,57,1,Good,47,Good,0,Good,57,L1,151.4482002,8.767436398,L1,Moderate
Finland,Oulu,34,1,Good,34,Good,0,Good,3,L0,98.61648862,7.341924631,L0,Good
Indonesia,Ciranjang,109,2,,,Moderate,1,Good,109,L2,275.7322584,-0.067854105,L2,Unhealthy for Sensitive Groups
China,Xinan,153,6,Good,61,Moderate,16,Good,153,L3,374.1366811,11.87715563,L3,Unhealthy
France,Paita,27,0,Good,27,Good,0,Good,10,L0,67.80824348,-1.231838352,L0,Good
Indonesia,Yogyakarta,54,1,Good,,Good,0,Good,54,L1,142.6747539,-5.393830162,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Frome,46,1,Good,21,Good,4,Good,46,L0,128.0315474,0.969531624,L0,Good
Spain,Chipiona,35,1,Good,,Good,1,Good,25,L0,95.07253421,5.108162823,L0,Good
Germany,Landau,46,1,Good,41,Good,2,Good,46,L0,117.2684775,3.167230783,L0,Good
Belgium,Mortsel,40,1,Good,29,Good,3,Good,40,L0,123.1244856,4.745497784,L0,Good
United States of America,Mankato,59,1,,36,Good,3,Good,59,L1,131.6352234,5.979052784,L1,Moderate
Russian Federation,Vorsma,47,1,Good,,Good,1,Good,47,L0,119.751547,-4.973848148,L0,Good
United States of America,Rock Hill,49,1,Good,49,Good,1,Good,14,L0,119.2388801,16.32158401,L0,Good
Colombia,Santo Tomas,85,2,Good,18,Good,7,Good,85,L1,212.017127,6.708788732,L1,Moderate
India,Chodavaram,153,1,Good,47,Good,0,Good,153,L3,398.4898336,3.457299818,L3,Unhealthy
India,Kankon,83,0,Good,23,Good,0,Good,83,L1,207.5690054,3.312889299,L1,Moderate
Slovakia,Dunajska Streda,70,1,Good,33,Good,2,Good,70,L1,180.1578477,-6.246082696,L1,Moderate
Belgium,Tubize,48,1,Good,25,Good,5,Good,48,L0,128.8818229,5.514063886,L0,Good
Netherlands,Oisterwijk,42,1,Good,40,Good,1,Good,42,L0,111.0878491,6.908722439,L0,Good
United States of America,Beaver Dam,54,2,,33,Good,6,Good,54,L1,129.8731444,-5.361494541,L1,Moderate
Mali,Sikasso,53,1,Good,14,Good,0,Good,53,L1,144.2345888,8.657109431,L1,Moderate
Iran (Islamic Republic of),Nahavand,116,1,,28,Good,1,Good,116,L2,289.3844225,1.398708562,L2,Unhealthy for Sensitive Groups
Brazil,Cambuquira,42,1,Good,21,Good,0,Good,42,L0,100.254707,2.875466915,L0,Good
United States of America,Rock Springs,22,1,Good,20,Good,5,Good,22,L0,57.46913159,3.62723497,L0,Good
Brazil,Crato,32,0,Good,12,Good,1,Good,32,L0,73.64608676,-4.079712292,L0,Good
India,Pithoragarh,94,2,Good,27,Good,3,Good,94,L1,244.5504509,5.631909678,L1,Moderate
Brazil,Sao Bento Do Una,32,0,,10,Good,1,Good,32,L0,66.51889888,0.083926856,L0,Good
Japan,Ashikaga,67,1,,67,Moderate,1,Good,63,L1,175.6977804,1.162979125,L1,Moderate
Germany,Homburg,31,1,Good,25,Good,1003.063334,Good,31,L0,87.93600155,-4.585472792,L0,Good
India,Dhamtari,154,2,Good,49,Good,1,Good,154,L3,401.1214906,5.37713617,L3,Unhealthy
