,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
4229,France,Garches,72,Moderate,1,Good,43,Good,2,Good,72,L1,185.0855608,6.610703115,L1
4230,United States of America,Garden City,58,Moderate,1,,46,Good,5,Good,58,L1,134.2911854,8.208282303,L1
4231,United States of America,Gardena,100,Unhealthy for Sensitive Groups,3,Good,17,Good,23,Good,100,L2,268.5557294,12.49818245,L2
4232,Brazil,Garibaldi,29,Good,0,Good,19,Good,0,Good,29,L0,71.3914236,1.195416367,L0
4233,Colombia,Garzon,15,Good,1,Good,6,Good,0,Good,15,L0,47.54483256,1.73111136,L0
4234,Indonesia,Gebog,161,Unhealthy,5,Good,2,Good,22,Good,161,L3,391.8696569,7.872308199,L3
4235,Belgium,Gembloux,55,Moderate,1,Good,,Good,1,Good,55,L1,130.7054034,0.187219558,L1
4236,Netherlands,Gendringen,40,Good,1,Good,38,Good,0,Good,40,L0,119.350874,3.713849679,L0
4237,Russian Federation,Georgievsk,43,Good,1,Good,43,Good,1,Good,32,L0,109.0269771,2.753284688,L0
4238,India,Ghazipur,176,Unhealthy,4,Good,93,Moderate,5,Good,176,L3,459.5327548,5.073480921,L3
4239,Philippines,Dalipuga,61,Moderate,1,Good,17,Good,3,Good,61,L1,156.7176934,-1.918923769,L1
4240,Poland,Darlowo,35,Good,1,Good,35,Good,0,Good,23,L0,74.08102227,3.256219539,L0
4241,India,Daund,159,Unhealthy,2,Good,33,Good,6,Good,159,L3,411.420676,3.42901191,L3
4242,United States of America,Delray Beach,36,Good,1,Good,36,Good,0,Good,22,L0,89.10107682,-1.906834866,L0
4243,United States of America,Derby,51,Moderate,1,Good,48,Good,2,Good,51,L1,139.4868881,7.952855067,L1
4244,Brazil,Descalvado,60,Moderate,1,Good,27,Good,0,Good,60,L1,155.2521087,12.66046375,L1
4245,Nepal,Dharan,101,Unhealthy for Sensitive Groups,3,Good,33,Good,2,Good,101,L2,242.0688177,12.21294107,L2
4246,India,Dhaulpur,171,Unhealthy,4,Good,50,Good,7,Good,171,L3,434.1429477,5.599059942,L3
4247,India,Dhrangadhra,150,Unhealthy,1,Good,29,Good,1,Good,150,L3,401.9622314,3.548851577,L3
4248,Netherlands,Diemen,38,Good,0,Good,38,Good,0,Good,30,L0,104.9298646,9.702144758,L0
4249,Belgium,Diest,53,Moderate,1,Good,38,Good,1,Good,53,L1,136.9248225,-2.068498214,L1
4250,Germany,Dietzenbach,61,Moderate,1,Good,61,Moderate,0,Good,60,L1,168.253434,7.712975633,L1
4251,,Dinard,45,Good,1,Good,30,Good,1003.063334,Good,45,L0,119.6066847,-3.440416041,L0
4252,United Republic of Tanzania,Dodoma,21,Good,0,Good,21,Good,0,Good,18,L0,59.5953423,10.42018814,L0
4253,Italy,Domodossola,83,Moderate,1,Good,39,Good,0,Good,83,L1,201.5837483,1.648427376,L1
4254,Brazil,Dracena,50,Good,1,Good,23,Good,0,Good,50,L0,132.3384803,14.94521862,L0
4255,Norway,Drobak,45,Good,1,Good,45,Good,0,Good,15,L0,127.8544342,12.44031899,L0
4256,United States of America,Dublin,43,Good,1,Good,41,Good,1,Good,43,L0,104.1393785,3.267847452,L0
4257,Belgium,Duffel,51,Moderate,1,Good,38,Good,2,Good,51,L1,146.7449582,0.202973134,L1
4258,United Kingdom of Great Britain and Northern Ireland,Dundee,38,Good,1,,38,Good,0,Good,29,L0,99.08293976,4.773877359,L0
4259,United States of America,Eagan,52,Moderate,1,Good,32,Good,1,Good,52,L1,126.1223049,2.899205167,L1
4260,United States of America,East Brainerd,58,Moderate,1,Good,58,Moderate,0,Good,19,L0,159.9763208,1.792165182,L0
4261,United States of America,East Hartford,51,Moderate,1,Good,46,Good,2,Good,51,L1,129.6320576,-4.490566273,L1
4262,Japan,Ebina,73,Moderate,1,Good,32,Good,9,Good,73,L1,195.0951489,1.227232082,L1
4263,United Kingdom of Great Britain and Northern Ireland,Eccles,37,Good,1,Good,36,Good,1,Good,37,L0,94.58241368,-1.752395609,L0
4264,Germany,Edewecht,39,Good,1,Good,39,Good,0,Good,30,L0,101.9017386,6.558238532,L0
4265,Germany,Edingen Neckarhausen,62,Moderate,1,Good,60,Moderate,0,Good,62,L1,164.935602,8.755356583,L1
4266,Spain,El Ejido,38,Good,1,Good,38,Good,0,Good,37,L0,102.9089706,7.50342002,L0
4267,Mexico,El Mante,54,Moderate,1,,29,Good,0,Good,54,L1,120.0446822,5.511875448,L1
4268,Honduras,El Paraiso,29,Good,1,Good,17,Good,0,Good,29,L0,66.2875626,-0.464535336,L0
4269,Honduras,El Progreso,76,Moderate,1,Good,22,Good,0,Good,76,L1,204.2940998,4.827003863,L1
4270,Spain,El Vendrell,46,Good,1,Good,46,Good,0,Good,45,L0,118.6786341,7.763825718,L0
4271,Russian Federation,Elban,172,Unhealthy,15,Good,,Good,11,Good,172,L3,429.762687,26.06882213,L3
4272,Lithuania,Elektrenai,35,Good,1,,35,Good,1003.063334,Good,21,L0,78.91425985,4.394932107,L0
4273,Ghana,Elmina,29,Good,0,Good,23,Good,0,Good,29,L0,66.70263679,1.272692054,L0
4274,Kazakhstan,Emba,58,Moderate,1,Good,37,Good,0,Good,58,L1,129.7820136,12.11183335,L1
4275,Germany,Rothenbach,63,Moderate,1,Good,,Moderate,0,Good,63,L1,161.4871928,8.057740676,L1
4276,United States of America,Round Rock,28,Good,0,Good,21,Good,2,Good,28,L0,69.01562419,5.045798059,L0
4277,United States of America,Rubidoux,109,Unhealthy for Sensitive Groups,3,Good,16,Good,19,Good,109,L2,267.8341211,-1.18346867,L2
4278,Germany,Ruthen,54,Moderate,1,Good,43,Good,0,Good,54,L1,139.3187657,4.664186634,L1
4279,India,Sadri,154,Unhealthy,1,Good,,Good,1,Good,154,L3,393.6397063,3.024932855,L3
4280,Russian Federation,Safonovo,37,Good,1,Good,37,Good,0,Good,15,L0,118.4319793,2.981714447,L0
4281,Russian Federation,Sagopshi,44,Good,1,Good,44,Good,1,Good,32,L0,99.8811658,-4.017067364,L0
4282,France,Saint Malo,40,Good,1,Good,31,Good,3,Good,40,L0,116.5938104,-1.638843111,L0
4283,Pakistan,Sakrand,149,Unhealthy for Sensitive Groups,1,Good,23,Good,1,Good,149,L2,387.2310156,3.45991256,L2
4284,Canada,Salaberry De Valleyfield,37,Good,1,Good,26,Good,0,Good,37,L0,89.70907261,9.371778891,L0
4285,Italy,Salemi,57,Moderate,1,,57,Moderate,0,Good,56,L1,149.5323595,0.847377151,L1
4286,Brazil,Salgueiro,20,Good,0,,20,Good,0,Good,15,L0,50.42366751,0.000306364,L0
4287,Russian Federation,Samara,40,Good,1,Good,40,Good,2,Good,25,L0,106.8568858,12.70545998,L0
4288,India,Sambalpur,157,Unhealthy,2,Good,72,Moderate,1,Good,157,L3,412.5913101,4.115888054,L3
4289,India,Sambhal,164,Unhealthy,5,Good,33,Good,9,Good,164,L3,421.0560623,10.35605238,L3
4290,India,Sonamura,102,Unhealthy for Sensitive Groups,3,Good,,Good,8,Good,102,L2,265.0860837,6.82377609,L2
4291,Denmark,Sonderborg,42,Good,1,Good,,Good,0,Good,23,L0,105.6969068,-2.927525732,L0
4292,Germany,Spaichingen,61,Moderate,1,,51,Moderate,0,Good,61,L1,142.6594334,6.658990617,L1
4293,United States of America,Spencer,48,Good,1,Good,43,Good,1,Good,48,L0,122.9153179,0.535619407,L0
4294,,Split,93,Moderate,1,Good,44,Good,0,Good,93,L1,249.5660815,3.649646915,L1
4295,Netherlands,Stadskanaal,37,Good,0,,37,Good,0,Good,31,L0,82.22832143,4.221864822,L0
4296,Uzbekistan,Stantsiya Gorchakovo,125,Unhealthy for Sensitive Groups,1,Good,,Good,9,Good,125,L2,306.9491063,13.51278795,L2
4297,United States of America,Statesville,48,Good,1,Good,48,Good,1,Good,19,L0,126.2626774,-2.788850223,L0
4298,Germany,Stein,62,Moderate,1,,52,Moderate,0,Good,62,L1,150.1534522,8.124910925,L1
4299,Russian Federation,Stroitel,46,Good,1,Good,38,Good,0,Good,46,L0,112.0747655,8.143616281,L0
4300,Republic of North Macedonia,Strumica,64,Moderate,1,Good,46,Good,0,Good,64,L1,160.7640142,0.608926136,L1
4301,Spain,Sueca,36,Good,1,Good,36,Good,0,Good,20,L0,81.34382596,6.79751924,L0
4302,Japan,Sugito,82,Moderate,1,,26,Good,18,Good,82,L1,200.2587815,12.01718076,L1
4303,India,Sumbal,152,Unhealthy,3,Good,37,Good,3,Good,152,L3,392.0342792,3.575143954,L3
4304,Japan,Sumoto,72,Moderate,2,,22,Good,10,Good,72,L1,171.9263022,6.807348986,L1
4305,Italy,Piacenza,72,Moderate,1,,60,Moderate,0,Good,72,L1,169.0212787,5.82400682,L1
4306,United States of America,Picayune,50,Good,1,,,Good,1003.063334,Good,50,L0,123.6997502,6.470894275,L0
4307,Brazil,Picui,24,Good,0,Good,24,Good,0,Good,19,L0,72.31955503,5.846458804,L0
4308,United States of America,Pinellas Park,85,Moderate,1,Good,85,Moderate,1,Good,14,L0,215.5307819,4.631524141,L0
4309,Brazil,Pinheiro,31,Good,0,Good,18,Good,1003.063334,Good,31,L0,77.85418922,4.567180932,L0
4310,Brazil,Pio Xii,28,Good,0,Good,16,Good,0,Good,28,L0,75.44358798,-2.557368251,L0
4311,Italy,Piossasco,74,Moderate,1,Good,49,Good,0,Good,74,L1,172.5429257,4.620017468,L1
4312,Brazil,Piracicaba,72,Moderate,1,Good,29,Good,1,Good,72,L1,189.9470565,1.418293672,L1
4313,Brazil,Piritiba,23,Good,0,,20,Good,0,Good,23,L0,66.33435031,-4.149144526,L0
4314,Czechia,Pisek,66,Moderate,1,Good,49,Good,0,Good,66,L1,165.9069153,1.254277253,L1
4315,Russian Federation,Pitkyaranta,35,Good,1,Good,35,Good,1003.063334,Good,17,L0,102.5592451,5.147281961,L0
4316,United States of America,Plainfield,52,Moderate,1,Good,40,Good,2,Good,52,L1,123.725039,5.978986382,L1
4317,France,Poitiers,39,Good,1,Good,39,Good,0,Good,28,L0,113.7790899,-2.542295605,L0
4318,Ukraine,Poltava,46,Good,1,Good,44,Good,0,Good,46,L0,121.5449367,-0.888383584,L0
4319,Thailand,Pong,56,Moderate,1,Good,14,Good,2,Good,56,L1,141.6344741,7.423281398,L1
4320,India,Ponneri,145,Unhealthy for Sensitive Groups,4,Good,37,Good,7,Good,145,L2,367.3012636,11.74074046,L2
4321,Italy,Pontassieve,65,Moderate,1,Good,65,Moderate,0,Good,48,L0,166.4273523,8.23551331,L0
4322,United States of America,Port Hueneme,51,Moderate,1,Good,,Good,3,Good,51,L1,144.702829,10.63915214,L1
4323,,Port De Bouc,48,Good,1,Good,48,Good,2,Good,40,L0,114.2332087,6.489435548,L0
4324,Italy,Potenza,51,Moderate,1,Good,51,Moderate,0,Good,36,L0,124.8748076,1.725961864,L0
4325,Mexico,Progreso Industrial,181,Unhealthy,4,Good,24,Good,9,Good,181,L3,467.8630289,9.77424729,L3
4326,Russian Federation,Psebay,41,Good,1,Good,41,Good,0,Good,26,L0,101.5446506,12.0994855,L0
4327,,Pulupandan,65,Moderate,1,Good,33,Good,2,Good,65,L1,176.5053308,17.62224499,L1
4328,India,Pundri,162,Unhealthy,4,Good,45,Good,9,Good,162,L3,426.9943598,11.51548183,L3
4329,Chile,Purranque,22,Good,1,,22,Good,1,Good,18,L0,55.98204973,6.477770694,L0
4330,Syrian Arab Republic,Qatana,72,Moderate,1,Good,72,Moderate,1,Good,59,L1,191.8136233,7.428541835,L1
4331,Colombia,Quibdo,17,Good,1,Good,17,Good,0,Good,11,L0,35.96307719,3.918964229,L0
4332,Poland,Radlin,68,Moderate,1,Good,45,Good,0,Good,68,L1,182.547333,9.619269512,L1
4333,India,Rahuri,153,Unhealthy,1,Good,35,Good,2,Good,153,L3,389.4942399,8.840226464,L3
4334,India,Raikot,165,Unhealthy,5,Good,41,Good,12,Good,165,L3,422.2303828,12.77188224,L3
4335,India,Rajsamand,151,Unhealthy,1,Good,29,Good,3,Good,151,L3,376.0442793,2.20990047,L3
4336,United States of America,Ramsey,51,Moderate,1,Good,,Good,1,Good,51,L1,115.8891658,-3.803481937,L1
4337,India,Ramtek,172,Unhealthy,3,Good,34,Good,11,Good,172,L3,440.0325206,11.06206774,L3
4338,Germany,Raubling,65,Moderate,1,Good,,Moderate,0,Good,65,L1,146.8659685,4.864291576,L1
4339,United Kingdom of Great Britain and Northern Ireland,Redcar,46,Good,1,Good,38,Good,0,Good,46,L0,116.8264951,0.111161347,L0
4340,United States of America,Rehoboth,50,Good,1,Good,44,Good,1003.063334,Good,50,L0,139.4118187,-1.849601325,L0
4341,United Kingdom of Great Britain and Northern Ireland,Reigate,33,Good,1,Good,33,Good,1,Good,30,L0,89.41897736,7.107164247,L0
4342,Germany,Reinbek,43,Good,1,Good,43,Good,0,Good,22,L0,131.9834264,-4.206181608,L0
4343,Finland,Riihimaki,36,Good,1,Good,,Good,1,Good,6,L0,105.2510915,5.298205937,L0
4344,Mexico,Rincon De Romos,40,Good,1,Good,,Good,0,Good,40,L0,98.46101612,8.017752046,L0
4345,Uruguay,Rio Branco,18,Good,0,Good,18,Good,0,Good,8,L0,50.2731338,4.749464432,L0
4346,Brazil,Rio Das Pedras,74,Moderate,1,Good,30,Good,1,Good,74,L1,189.526293,1.846301128,L1
4347,United States of America,Rio Grande City,38,Good,0,Good,,Good,1003.063334,Good,38,L0,84.17823237,-4.246872422,L0
4348,Spain,Ripoll,41,Good,1,Good,41,Good,0,Good,32,L0,98.09601084,6.735096199,L0
4349,India,Risod,154,Unhealthy,2,Good,23,Good,4,Good,154,L3,384.3923909,11.60261546,L3
4350,United States of America,Riverside,95,Moderate,3,Good,23,Good,17,Good,95,L1,222.137795,4.536333226,L1
4351,Ecuador,Rocafuerte,50,Good,1,,23,Good,0,Good,50,L0,130.4749347,6.334541001,L0
4352,France,Roche La Moliere,60,Moderate,1,,47,Good,0,Good,60,L1,152.5092816,11.70757559,L1
4353,Sierra Leone,Rokupr,21,Good,1,Good,20,Good,0,Good,21,L0,40.77106099,5.494235482,L0
4354,Kenya,Rongai,85,Moderate,2,Good,12,Good,1,Good,85,L1,221.5421287,3.615599276,L1
4355,Poland,Olsztyn,39,Good,1,Good,39,Good,0,Good,20,L0,109.6587274,9.0042677,L0
4356,Japan,Onomichi,51,Moderate,1,Good,46,Good,3,Good,51,L1,134.7703448,0.112195129,L1
4357,United States of America,Opportunity,43,Good,1,Good,23,Good,2,Good,43,L0,109.2593182,-2.690960075,L0
4358,Namibia,Oshakati,43,Good,0,Good,32,Good,0,Good,43,L0,118.4144215,6.061605956,L0
4359,United States of America,Ossining,51,Moderate,1,Good,45,Good,1003.063334,Good,51,L1,139.3022036,1.769188683,L1
4360,Mexico,Ozumba,161,Unhealthy,1,Good,38,Good,3,Good,161,L3,410.5740357,2.21739493,L3
4361,South Africa,Paarl,171,Unhealthy,6,Good,15,Good,9,Good,171,L3,424.2538775,9.665296822,L3
4362,Russian Federation,Pallasovka,50,Good,1,Good,50,Good,0,Good,11,L0,132.7660077,1.435913022,L0
4363,United States of America,Palm Desert,49,Good,1,Good,30,Good,3,Good,49,L0,139.4548065,10.81516714,L0
4364,Spain,Palma,42,Good,1,Good,42,Good,0,Good,31,L0,104.0337094,12.11249383,L0
4365,Cuba,Palmira,43,Good,1,Good,34,Good,0,Good,43,L0,133.4793934,12.77489318,L0
4366,United States of America,Palos Heights,58,Moderate,1,,36,Good,4,Good,58,L1,144.7436907,9.250603106,L1
4367,Indonesia,Pamanukan,156,Unhealthy,3,Good,22,Good,9,Good,156,L3,395.3240701,9.731356299,L3
4368,,Pambujan,26,Good,0,Good,26,Good,0,Good,20,L0,63.27514404,-5.16142796,L0
4369,Brazil,Panelas,23,Good,0,,23,Good,0,Good,17,L0,64.73270836,1.062376485,L0
4370,,Papara,27,Good,0,Good,27,Good,0,Good,17,L0,55.07778307,12.78377244,L0
4371,India,Parola,153,Unhealthy,1,Good,34,Good,2,Good,153,L3,382.039582,1.621892106,L3
4372,Italy,Partinico,59,Moderate,1,Good,55,Moderate,0,Good,59,L1,141.578788,11.37072237,L1
4373,United States of America,Pasco,37,Good,1,Good,28,Good,2,Good,37,L0,98.85338348,4.075179095,L0
4374,India,Pasighat,59,Moderate,2,Good,9,Good,3,Good,59,L1,162.4444738,-7.790711929,L1
4375,Brazil,Passira,23,Good,0,Good,,Good,0,Good,19,L0,68.96006187,5.202427818,L0
4376,United States of America,Pearl City,35,Good,0,,,Good,0,Good,34,L0,68.78340639,8.331273481,L0
4377,Brazil,Coelho Neto,34,Good,0,Good,18,Good,0,Good,34,L0,110.4206965,1.755020157,L0
4378,Guatemala,Comalapa,65,Moderate,2,Good,18,Good,3,Good,65,L1,170.4527994,11.76525502,L1
4379,Dominican Republic,Constanza,102,Unhealthy for Sensitive Groups,1,Good,35,Good,0,Good,102,L2,252.2350086,-4.539137572,L2
4380,Mexico,Contla,190,Unhealthy,1,Good,35,Good,3,Good,190,L3,481.5712792,-3.127821319,L3
4381,Italy,Corato,60,Moderate,1,Good,60,Moderate,0,Good,41,L0,156.7618982,4.82432154,L0
4382,United States of America,Crystal Lake,52,Moderate,1,Good,32,Good,3,Good,52,L1,128.3315128,6.185573639,L1
4383,India,Dahanu,76,Moderate,1,Good,19,Good,1,Good,76,L1,196.9791667,10.58289434,L1
4384,Serbia,Pec,95,Moderate,1,Good,39,Good,0,Good,95,L1,236.4252771,6.994622334,L1
4385,Romania,Pechea,50,Good,1,Good,49,Good,0,Good,50,L0,125.9563801,-2.168145447,L0
4386,United Kingdom of Great Britain and Northern Ireland,Penicuik,39,Good,1,Good,39,Good,0,Good,32,L0,95.63720864,4.86522811,L0
4387,United States of America,Pennsville,49,Good,1,,49,Good,1,Good,38,L0,113.1732871,6.803637226,L0
4388,United States of America,Pensacola,82,Moderate,2,,82,Moderate,1,Good,35,L0,211.4583647,-3.771169993,L0
4389,India,Perambalur,107,Unhealthy for Sensitive Groups,2,Good,25,Good,6,Good,107,L2,278.3529944,5.381832651,L2
4390,Cuba,Perico,30,Good,1,Good,30,Good,0,Good,24,L0,85.14883596,2.12208728,L0
4391,United States of America,Perry Hall,46,Good,1,,,Good,2,Good,46,L0,128.1992525,0.526534631,L0
4392,Haiti,Petit Goave,103,Unhealthy for Sensitive Groups,1,Good,36,Good,0,Good,103,L2,265.7434021,6.293885259,L2
4393,Thailand,Phayuha Khiri,57,Moderate,1,Good,,Good,2,Good,57,L1,142.172745,-1.948407633,L1
4394,France,Marignane,47,Good,1,Good,47,Good,3,Good,42,L0,130.8966386,5.88439756,L0
4395,France,Marly,54,Moderate,1,Good,42,Good,1,Good,54,L1,126.4248246,6.597455646,L1
4396,Madagascar,Marovoay,47,Good,1,Good,21,Good,0,Good,47,L0,113.4932862,9.218816551,L0
4397,Switzerland,Martigny,64,Moderate,1,,,Good,0,Good,64,L1,155.3579993,-1.817096314,L1
4398,Japan,Marugame,55,Moderate,1,Good,32,Good,5,Good,55,L1,153.3005606,-3.726171092,L1
4399,Brazil,Maues,27,Good,1,Good,5,Good,0,Good,27,L0,81.92788514,5.194518037,L0
4400,India,Mayang Imphal,90,Moderate,3,Good,,Good,6,Good,90,L1,234.8730524,5.968643831,L1
4401,United States of America,Mayfield Heights,56,Moderate,1,,37,Good,2,Good,56,L1,155.7192987,18.31325131,L1
4402,Myanmar,Maymyo,69,Moderate,2,Good,4,Good,2,Good,69,L1,168.7071722,7.892492381,L1
4403,Bangladesh,Mehendiganj,80,Moderate,2,Good,21,Good,5,Good,80,L1,208.4859512,5.890808559,L1
4404,Russian Federation,Melenki,35,Good,1,Good,,Good,0,Good,26,L0,91.24825572,2.935860222,L0
4405,Argentina,Mendoza,45,Good,1,Good,,Good,4,Good,45,L0,125.968821,-2.290309227,L0
4406,China,Mengyin,164,Unhealthy,6,Good,54,Moderate,18,Good,164,L3,413.8477577,15.61940776,L3
4407,Indonesia,Merauke,34,Good,0,Good,21,Good,0,Good,34,L0,86.15057112,1.604274869,L0
4408,Italy,Mercato San Severino,69,Moderate,1,,69,Moderate,0,Good,54,L1,182.9090852,3.408431583,L1
4409,Germany,Merchweiler,63,Moderate,1,Good,55,Moderate,0,Good,63,L1,171.2616917,4.272216627,L1
4410,United States of America,Midvale,47,Good,1,Good,,Good,1003.063334,Good,47,L0,115.8165481,4.90606265,L0
4411,United States of America,Milpitas,50,Good,1,Good,31,Good,4,Good,50,L0,129.3892433,-4.89627823,L0
4412,United States of America,Minneapolis,52,Moderate,1,Good,30,Good,2,Good,52,L1,124.4155937,7.985115032,L1
4413,Russian Federation,Minyar,40,Good,1,Good,40,Good,0,Good,9,L0,80.01938983,-0.432221874,L0
4414,Brazil,Miracema Do Tocantins,26,Good,0,Good,19,Good,0,Good,26,L0,72.00459631,1.309839013,L0
4415,Brazil,Miracema,30,Good,0,Good,24,Good,0,Good,30,L0,86.08905356,8.429524603,L0
4416,Japan,Misawa,91,Moderate,3,Good,36,Good,8,Good,91,L1,235.1206681,16.29724296,L1
4417,Japan,Mitsuke,116,Unhealthy for Sensitive Groups,3,Good,20,Good,14,Good,116,L2,275.5043828,-1.102472193,L2
4418,Botswana,Mochudi,39,Good,1,Good,31,Good,0,Good,39,L0,98.9915057,3.951224138,L0
4419,Chile,Molina,97,Moderate,4,Good,2,Good,5,Good,97,L1,225.3165224,10.56456593,L1
4420,Brazil,Moncao,30,Good,0,,,Good,0,Good,30,L0,93.69701108,-5.537650131,L0
4421,India,Monoharpur,151,Unhealthy,3,Good,,Good,9,Good,151,L3,371.6394542,11.41295682,L3
4422,Italy,Monselice,87,Moderate,1,Good,63,Moderate,0,Good,87,L1,235.0540361,4.381313387,L1
4423,Italy,Montemurlo,67,Moderate,1,Good,67,Moderate,0,Good,43,L0,181.9586964,4.770797978,L0
4424,India,Moram,160,Unhealthy,2,Good,33,Good,3,Good,160,L3,395.9940965,1.012235408,L3
4425,Sri Lanka,Moratuwa,89,Moderate,1,Good,20,Good,3,Good,89,L1,216.1721505,5.864433217,L1
4426,Malta,Mosta,70,Moderate,1,Good,70,Moderate,0,Good,42,L0,183.5037022,7.991119782,L0
4427,Peru,Motupe,38,Good,1,Good,18,Good,1003.063334,Good,38,L0,91.55675963,4.436489419,L0
4428,Kenya,Moyale,30,Good,0,Good,15,Good,0,Good,30,L0,81.02484642,-0.569679505,L0
4429,Mexico,Moyotzingo,332,Hazardous,3,Good,26,Good,8,Good,332,L5,830.1717241,5.21965341,L5
4430,Turkey,Mut,46,Good,1,Good,46,Good,0,Good,34,L0,102.1884159,4.901978536,L0
4431,Cameroon,Muyuka,55,Moderate,1,Good,22,Good,0,Good,55,L1,120.1953198,4.043986892,L1
4432,Czechia,Nachod,58,Moderate,1,Good,41,Good,0,Good,58,L1,152.2668425,8.324110596,L1
4433,Iran (Islamic Republic of),Nahavand,116,Unhealthy for Sensitive Groups,1,,28,Good,1,Good,116,L2,289.3844225,1.398708562,L2
4434,Canada,Nanticoke,31,Good,1,Good,31,Good,0,Good,31,L0,76.96910183,-2.291903014,L0
4435,India,Kanchrapara,172,Unhealthy,5,Good,126,Unhealthy for Sensitive Groups,5,Good,172,L3,441.9586384,12.79693039,L3
4436,Togo,Kande,59,Moderate,1,Good,15,Good,0,Good,59,L1,164.2344228,1.412350735,L1
4437,India,Kanth,175,Unhealthy,4,Good,175,Unhealthy,1,Good,157,L3,439.7745528,13.11840975,L3
4438,China,Kaohsiung,97,Moderate,2,Good,,Moderate,2,Good,77,L1,244.0940129,5.637693152,L1
4439,Indonesia,Karanganom,57,Moderate,1,Good,32,Good,0,Good,57,L1,152.5014303,7.074066022,L1
4440,Russian Federation,Kasimov,34,Good,1,Good,34,Good,0,Good,32,L0,76.4306443,-1.271585234,L0
4441,Georgia,Kaspi,33,Good,1,Good,33,Good,0,Good,31,L0,89.73153055,4.516931316,L0
4442,India,Kayattar,55,Moderate,0,Good,25,Good,0,Good,55,L1,148.0188597,-1.496316037,L1
4443,India,Kesinga,113,Unhealthy for Sensitive Groups,1,,39,Good,0,Good,113,L2,294.3023021,-2.301868265,L2
4444,India,Khanapur,63,Moderate,0,Good,22,Good,0,Good,63,L1,143.132473,-2.30553939,L1
4445,Nepal,Khandbari,34,Good,1,Good,32,Good,0,Good,34,L0,82.3864473,1.077614541,L0
4446,Tunisia,Duz,124,Unhealthy for Sensitive Groups,1,Good,44,Good,0,Good,124,L2,306.2173675,10.02347264,L2
4447,United States of America,East Brunswick,55,Moderate,2,Good,,Good,11,Good,55,L1,143.4988695,2.745298003,L1
4448,United States of America,East Hemet,55,Moderate,1,Good,15,Good,10,Good,55,L1,147.3074458,-2.557701251,L1
4449,United States of America,East Lake,52,Moderate,1,Good,20,Good,10,Good,52,L1,149.9671041,4.457387112,L1
4450,Belgium,Edegem,63,Moderate,1,Good,27,Good,8,Good,63,L1,157.5503452,3.945903303,L1
4451,Spain,Eibar,62,Moderate,1,,17,Good,3,Good,62,L1,155.024275,1.33973494,L1
4452,Nigeria,Ekpoma,58,Moderate,2,Good,18,Good,1,Good,58,L1,161.4967202,4.793882671,L1
4453,Guatemala,El Estor,38,Good,1,Good,13,Good,1,Good,38,L0,102.9657694,8.68113543,L0
4454,Spain,El Puerto De Santa Maria,28,Good,0,Good,28,Good,2,Good,12,L0,87.67651511,5.353528827,L0
4455,Colombia,El Zulia,62,Moderate,1,,,Good,3,Good,62,L1,162.88728,6.721151034,L1
4456,United States of America,Elk Grove Village,65,Moderate,2,Good,14,Good,19,Good,65,L1,155.9288338,-0.318393923,L1
4457,United States of America,Ellensburg,58,Moderate,1,Good,40,Good,1003.063334,Good,58,L1,136.6687165,18.23274031,L1
4458,United States of America,Dothan,58,Moderate,2,Good,26,Good,8,Good,58,L1,134.4848775,10.85626105,L1
4459,Germany,Drochtersen,57,Moderate,1,Good,29,Good,6,Good,57,L1,154.1205183,6.385142816,L1
4460,Ukraine,Dunayivtsi,56,Moderate,1,Good,31,Good,1,Good,56,L1,156.8859682,-2.021558872,L1
4461,Brazil,Marilia,22,Good,1,Good,,Good,1,Good,22,L0,78.49362141,8.538650564,L0
4462,Colombia,Mariquita,61,Moderate,2,,5,Good,4,Good,61,L1,165.9310533,3.094357449,L1
4463,United States of America,Marshfield,42,Good,1,Good,,Good,3,Good,42,L0,121.6283858,2.828645977,L0
4464,Italy,Martina Franca,47,Good,1,Good,47,Good,1,Good,27,L0,116.6998367,-4.60389638,L0
4465,India,Mawana,157,Unhealthy,3,Good,119,Unhealthy for Sensitive Groups,1,Good,157,L3,385.9358418,1.19258457,L3
4466,,Maxixe,38,Good,1,Good,24,Good,1003.063334,Good,38,L0,108.5007933,5.992732494,L0
4467,,Mazatlan,27,Good,1,Good,23,Good,0,Good,27,L0,76.67680752,8.831173376,L0
4468,Kingdom of Eswatini,Mbabane,114,Unhealthy for Sensitive Groups,2,Good,21,Good,3,Good,114,L2,291.0744437,9.024522099,L2
4469,Central African Republic,Mbaiki,86,Moderate,2,Good,15,Good,0,Good,86,L1,223.8737148,8.854094984,L1
4470,Switzerland,Meilen,53,Moderate,1,Good,31,Good,2,Good,53,L1,140.7318548,3.476167715,L1
4471,Germany,Meitingen,65,Moderate,1,Good,34,Good,3,Good,65,L1,180.3381686,1.766464923,L1
4472,Poland,Miechow,65,Moderate,1,Good,,Good,1,Good,65,L1,180.4498558,5.244475718,L1
4473,Cameroon,Mindif,74,Moderate,2,,23,Good,0,Good,74,L1,195.4422035,9.707041616,L1
4474,Japan,Mizusawa,49,Good,1,Good,46,Good,2,Good,49,L0,135.9580287,3.824311275,L0
